Calltime,Nature,CloseCode,Street,Month,Day of Week,Incident ID,Case ID,,
10/20/2014  9:37:22 AM,DOMESTIC DISTURBANCE IP,1,704 KENT ST,October,2 ,2014129697,201431407,,
10/20/2014  12:41:03 AM,DOMESTIC DISTURBANCE IP,5,3709-3C MORRIS FARM DR,October,2 ,2014129604,,,
10/19/2014  11:02:03 PM,DOMESTIC DISTURBANCE,4,600 GORDON ST,October,1 ,2014129585,,,
10/19/2014  6:01:25 PM,DOMESTIC DISTURBANCE IP,5,1111 E RUSSELL AV,October,1 ,2014129487,,,
10/19/2014  5:57:47 PM,DOMESTIC DISTURBANCE,4,824 HARTLEY HILL CT,October,1 ,2014129486,,,
10/19/2014  1:37:33 PM,DOMESTIC DISTURBANCE,1,2914-H CREEKVIEW CT,October,1 ,2014129414,201431341,,
10/19/2014  1:25:26 PM,DOMESTIC DISTURBANCE,4,3010 LODGE DR,October,1 ,2014129413,,,
10/19/2014  12:55:05 PM,DOMESTIC DISTURBANCE IP,5,208 WELCH DR,October,1 ,2014129406,,,
10/19/2014  7:57:35 AM,DOMESTIC DISTURBANCE,4,1705-B E LEXINGTON AV,October,1 ,2014129304,,,
10/19/2014  2:26:33 AM,DOMESTIC DISTURBANCE IP,1,802 WESTCHESTER DR,October,1 ,2014129269,201431307,,
10/18/2014  11:49:02 PM,DOMESTIC DISTURBANCE,1,812 CARTER ST,October,7 ,2014129233,201431298,,
10/18/2014  11:46:40 PM,DOMESTIC DISTURBANCE,1,605-E GRANBY AV,October,7 ,2014129231,201431297,,
10/18/2014  10:06:50 PM,DOMESTIC DISTURBANCE,2,1604-C LONG ST,October,7 ,2014129193,201431290,,
10/18/2014  8:49:30 PM,DOMESTIC DISTURBANCE,4,306 OSBORNE PL,October,7 ,2014129170,,,
10/18/2014  8:29:35 PM,DOMESTIC DISTURBANCE IP,1,917 SOUTH RD,October,7 ,2014129159,201431281,,
10/18/2014  8:25:04 PM,DOMESTIC DISTURBANCE IP,1,222 SPENCER ST,October,7 ,2014129154,201431279,,
10/18/2014  8:04:47 PM,DOMESTIC DISTURBANCE,4,604 E KEARNS AV,October,7 ,2014129143,,,
10/18/2014  7:42:08 PM,DOMESTIC DISTURBANCE,4,604 E KEARNS AV,October,7 ,2014129127,,,
10/18/2014  4:21:40 PM,DOMESTIC DISTURBANCE,5,116 GREENVIEW TE,October,7 ,2014129043,,,
10/18/2014  1:56:02 PM,DOMESTIC DISTURBANCE,5,208 WELCH DR,October,7 ,2014128997,,,
10/18/2014  1:40:49 PM,DOMESTIC DISTURBANCE IP,1,1107 PEGRAM AV,October,7 ,2014128992,201431241,,
10/18/2014  1:39:17 PM,DOMESTIC DISTURBANCE,4,901 NANCE AV,October,7 ,2014128991,,,
10/18/2014  1:20:06 PM,DOMESTIC DISTURBANCE IP,1,208 WELCH DR,October,7 ,2014128988,201431240,,
10/18/2014  12:35:03 PM,DOMESTIC DISTURBANCE IP,1,2099 S MAIN ST/BUSINESS I-85,October,7 ,2014128966,201431238,,
10/18/2014  11:33:05 AM,DOMESTIC DISTURBANCE IP,2,1418-A E COMMERCE AV,October,7 ,2014128945,201431245,,
10/18/2014  9:03:39 AM,DOMESTIC DISTURBANCE,4,1726-C N HAMILTON ST,October,7 ,2014128893,,,
10/17/2014  9:55:18 PM,DOMESTIC DISTURBANCE IP,1,1411 E GREEN DR,October,6 ,2014128739,201431184,,
10/17/2014  9:33:30 PM,DOMESTIC DISTURBANCE,4,762 N MAIN ST,October,6 ,2014128733,,,
10/17/2014  8:25:16 PM,DOMESTIC DISTURBANCE,5,1017 CANTERING RD,October,6 ,2014128697,,,
10/17/2014  8:03:54 PM,DOMESTIC DISTURBANCE,8,328 PLAYER DR,October,6 ,2014128689,,,
10/17/2014  7:08:35 PM,DOMESTIC DISTURBANCE,6,3940 FOUNTAIN GROVE DR,October,6 ,2014128675,,,
10/17/2014  7:05:04 PM,DOMESTIC DISTURBANCE IP,4,107-D WOODVALLEY CT,October,6 ,2014128672,,,
10/17/2014  6:23:57 PM,DOMESTIC DISTURBANCE,4,1204 TIPTON ST,October,6 ,2014128656,,,
